MinkID	sex	Gs totwt/g	res.	vis ely	TCCS/kg	max price	RESI1	SRES1	RESI2	SRES2	RESI5	RESI6	RESI7	RESI8	RESI9	RESI10	RESI11	RESI12	RESI13	RESI14
15	male	179500	Platform	0.961	115.5	1250	0.191684024	0.979124741	0.189886591	0.917049171	-0.213874825	-0.157450172	-0.157450172	-0.183160142	-0.158947001	0.170495666	0.075264081	-0.173088027	-0.238508958	-0.173088027
16	male	274250	Platform	0.539	123.5	1250	-0.156553137	-0.800860589	-0.213220022	-1.034966075	0.185278559	0.167747607	0.167747607	0.126592713	0.154276148	-0.234441471	-0.145343603	0.132184218	0.129277485	0.132184218
1	female	15500	Tunnel	0.897	17.25	750	0.035581278	0.18896083	-0.110509197	-0.533005208	-0.021978384	-0.060794804	-0.060794804	-0.065730622	-0.060794804	-0.065228813	-0.051288968	-0.074738198	-0.044164076	-0.074738198
2	male	13000	Tunnel	0.829	13.5	1000	0.16998021	0.881825038	0.035915113	0.173158276	0.08699095	0.2077658	0.2077658	0.200116191	0.211757343	-0.01336696	-0.043515681	0.217603288	0.102476577	0.217603288
3	female	62000	Tunnel	0.283	30	1000	-0.274929408	-1.411247461	-0.340114734	-1.646923739	-0.11693892	-0.14287943	-0.14287943	-0.161220278	-0.126913257	-0.285230604	-0.322749595	-0.112746398	-0.06977501	-0.112746398
4	male	46750	Tunnel	0.543	30	1250	-0.129195308	-0.657121992	-0.074012388	-0.358762604	-0.078728768	-0.125031382	-0.125031382	-0.14014118	-0.133014468	-0.120388691	-0.13358841	-0.0848131	-0.015418187	-0.0848131
5	female	20000	Tunnel	0.693	18.25	1250	0.002359514	0.011916633	0.046934303	0.226328614	-0.289687903	-0.200882694	-0.200882694	-0.191451819	-0.20886578	0.097903496	0.114127284	-0.194116805	-0.279297323	-0.194116805
6	male	39500	Tunnel	0.537	27.5	1250	0.053236631	0.269809615	0.062017461	0.299895293	0.06415277	0.062753127	0.062753127	0.052597361	0.058761584	0.010058529	0.10173477	0.09514589	0.115175766	0.09514589
7	male	20750	Tunnel	0.402	12.5	1250	0.098070634	0.527226342	-0.101829027	-0.491570376	0.061880931	0.171931441	0.171931441	0.169847833	0.163948354	-0.151974126	-0.077300463	0.155379703	0.035814339	0.155379703
8	male	10000	Tunnel	1.154	18.5	1000	0.357716264	1.88632369	0.492556902	2.374663271	-0.114987852	-0.123839877	-0.123839877	-0.111207095	-0.107873704	0.442841038	0.348688958	-0.127061832	-0.120065453	-0.127061832
9	female	30500	Tunnel	0.652	23.5	1250	-0.071888503	-0.363922313	-0.015539044	-0.074969534	0.180758102	0.165694932	0.165694932	0.164110371	0.153720302	0.038198049	0.024181009	0.176783816	0.197938666	0.176783816
10	male	9250	Tunnel	0.788	10	1000	0.05628352	0.304138447	-0.074965494	-0.367592632	0.132142519	0.030179454	0.030179454	0.025269134	0.038162541	-0.133414258	-0.054467989	-0.031088254	0.035710775	-0.031088254
11	female	24750	Tunnel	0.929	26.5	750	-0.064351344	-0.331298271	0.019136859	0.092274624	0.129453062	0.107054695	0.107054695	0.120186523	0.134995498	0.065484119	0.081756536	0.096304806	0.112289619	0.096304806
12	female	18500	Tunnel	0.842	19.25	1250	0.050456258	0.259092859	0.083130464	0.400730495	0.232333847	0.380398321	0.380398321	0.387454175	0.364432148	0.131900604	0.127171872	0.37998868	0.233517947	0.37998868
13	female	34750	Tunnel	0.156	16.75	1250	-0.126483746	-0.710681716	-0.313658449	-1.511972074	-0.006197734	-0.007195496	-0.007195496	-0.010062278	-0.039127843	-0.262364614	-0.278693482	-0.011821896	-0.013749843	-0.011821896
14	female	11750	Tunnel	0.959	22.75	500	-0.037685083	-0.220412115	0.228356475	1.101709717	-0.10774207	-0.241395525	-0.241395525	-0.243286071	-0.217446265	0.279337763	0.305495344	-0.259654004	-0.13675998	-0.259654004
15	male	33000	Tunnel	0.961	33.25	1000	0.031608911	0.161886287	0.033851143	0.163622631	-0.107982527	-0.124075591	-0.124075591	-0.122399963	-0.108109418	-0.015422769	-0.051298887	-0.148139741	-0.145885303	-0.148139741
16	male	31250	Tunnel	1.002	25.75	1250	-0.150759826	-0.848557007	0.028729614	0.138709456	-0.043468023	-0.099682972	-0.099682972	-0.074082282	-0.123632232	-0.018332763	-0.090252299	-0.077025953	-0.007808514	-0.077025953
