DATE,BERK,vwretd,riskfree
19911129,0.00000,-0.03727,0.003915
19911231,0.03649,0.10678,0.003792
19920131,0.06897,-0.00119,0.003391
19920228,-0.03226,0.01334,0.002828
19920331,0.05133,-0.02370,0.003376
19920430,-0.04839,0.01344,0.00325
19920529,-0.01695,0.00642,0.002758
19920630,-0.01586,-0.01928,0.003201
19920731,0.08929,0.03987,0.003077
19920831,-0.01639,-0.02080,0.002605
19920930,-0.00700,0.01243,0.002573
19921030,-0.00855,0.01100,0.002287
19921130,0.03448,0.04019,0.002345
19921231,0.03467,0.01775,0.002823
19930129,-0.03279,0.01264,0.002335
19930226,0.08475,0.00540,0.002209
19930331,0.08719,0.02507,0.002538
19930430,0.02190,-0.02540,0.002372
19930528,-0.02857,0.02959,0.002168
19930630,0.03059,0.00545,0.002538
19930730,0.10145,-0.00083,0.002402
19930831,-0.03947,0.03951,0.002504
19930930,0.04219,0.00064,0.002562
19931029,-0.02667,0.01807,0.00221
19931130,-0.03425,-0.01759,0.002491
19931231,-0.02014,0.01949,0.002263
19940131,-0.01471,0.03145,0.002503
19940228,0.04478,-0.02420,0.00212
19940331,0.00114,-0.04580,0.002695
19940429,-0.07971,0.00947,0.002711
19940531,0.02362,0.00936,0.00315
19940630,0.04769,-0.02791,0.003118
19940729,-0.02985,0.03063,0.00275
19940831,0.04615,0.04260,0.003687
19940930,-0.04265,-0.01837,0.003659
19941031,-0.03125,0.01452,0.003841
19941130,-0.06452,-0.03722,0.003691
19941230,0.07069,0.01260,0.00443
19950131,-0.00820,0.02040,0.004156
19950228,0.00826,0.03962,0.003983
19950331,0.01803,0.02704,0.00462
19950428,-0.02459,0.02505,0.00445
19950531,-0.03361,0.03401,0.005355
19950630,0.06261,0.03117,0.004715
19950731,0.01667,0.04078,0.004522
19950831,0.01639,0.00930,0.004665
19950929,-0.01452,0.03636,0.004309
19951031,0.08333,-0.01132,0.004713
19951130,0.00769,0.04271,0.004201
19951229,-0.02137,0.01518,0.004882
19960131,0.01587,0.02815,.004
19960229,0.00000,0.01630,.004
19960329,0.00156,0.01093,.004
19960430,-0.03968,0.02551,.004
19960531,0.01653,0.02676,.004
19960628,0.01821,-0.00828,.004
19960731,0.05691,-0.05384,.004
19960830,-0.00769,0.03247,.004
19960930,-0.03690,0.05299,.004
19961031,0.07377,0.01362,.004
19961129,-0.02290,0.06551,.004
19961231,0.09562,-0.01137,.004
19970131,-0.08696,0.05344,.004
19970228,0.03175,-0.00116,.004
19970331,-0.04431,-0.04482,.004
19970430,0.01639,0.04230,.004
19970530,-0.02419,0.07163,.004
19970630,0.07669,0.04413,.004
19970731,0.06250,0.07651,.004
19970829,-0.05882,-0.03624,.004
19970930,0.04906,0.05846,.004
19971031,0.00000,-0.03449,.004
19971128,0.02273,0.03050,.004
19971231,0.37985,0.01775,.004
19980130,-0.00543,0.00452,.004
19980227,-0.00546,0.07322,.004
19980331,0.07846,0.05132,.004
19980430,-0.03093,0.01088,.004
19980529,-0.04787,-0.02573,.004
19980630,0.05207,0.03200,.004
19980731,-0.03226,-0.02326,.004
19980831,-0.00556,-0.15766,.004
19980930,0.01855,0.06390,.004
19981030,0.03333,0.07435,.004
19981130,-0.01613,0.06199,.004
19981231,-0.02011,0.06317,.004
19990129,-0.00565,0.03840,.004
19990226,-0.07670,-0.03803,.004
19990331,-0.04418,0.03807,.004
19990430,0.06536,0.04889,.004
19990528,0.00613,-0.02067,.004
19990630,0.11195,0.05113,.004
19990730,0.16667,-0.03050,.004
19990831,-0.07143,-0.00998,.004
19990930,0.06338,-0.02256,.004
19991029,0.01463,0.06214,.004
19991130,0.34135,0.03698,.004
19991231,0.01204,0.08397,.004
20000131,-0.00714,-0.03961,.004
20000229,0.02158,0.03186,.004
20000331,0.02680,0.05387,.004
20000428,0.03717,-0.05969,.004
20000531,-0.00333,-0.03889,.004
20000630,0.00789,0.05164,.004
20000731,0.00334,-0.01779,.004
20000831,0.00500,0.07641,.004
