NonWhite Male	 Rate	 Lambda	 Heart Diseases	 Stroke	 COPD	 Motor Accidents	 Other Accidents	 Pneumonia/Influenza	 Diabetes	 AIDS	 Suicide	 Cirrhosis	 Homicide	 Residual	 Esophagus, Mouth, Pharynx	 Stomach	 Colorectal	 Lung	 Ovary	 Prostate	 Breast	 Pancreas	 Other Cancers
NonWhite Male 76	0.0630800000	0.0651573793	0.0210599049	0.0047423210	0.0025646679	0.0003546093	0.0008990226	0.0025526316	0.0021933929	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0120326442	0.0012225002	0.0008260403	0.0017222768	0.0058386371	0.0000000000	0.0030164561	0.0000321320	0.0008537233	0.0052464190
NonWhite Male 77	0.0672100000	0.0695751839	0.0224878099	0.0050638601	0.0027385577	0.0003786526	0.0009599782	0.0027257053	0.0023421095	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0128484822	0.0013053882	0.0008820476	0.0018390507	0.0062345087	0.0000000000	0.0032209781	0.0000343106	0.0009116075	0.0056021370
NonWhite Male 78	0.0719600000	0.0746804437	0.0241379113	0.0054354340	0.0029395065	0.0004064372	0.0010304191	0.0029257110	0.0025139678	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0137912730	0.0014011744	0.0009467701	0.0019739959	0.0066919820	0.0000000000	0.0034573257	0.0000368283	0.0009784991	0.0060132084
NonWhite Male 79	0.0773800000	0.0805378302	0.0260311121	0.0058617496	0.0031700598	0.0004383151	0.0011112376	0.0031551823	0.0027111450	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0148729594	0.0015110723	0.0010210278	0.0021288216	0.0072168520	0.0000000000	0.0037284930	0.0000397168	0.0010552454	0.0064848404
NonWhite Male 80	0.0836700000	0.0873787172	0.0282421960	0.0063596469	0.0034393248	0.0004755456	0.0012056261	0.0034231836	0.0029414298	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0161362692	0.0016394228	0.0011077540	0.0023096438	0.0078298517	0.0000000000	0.0040451913	0.0000430904	0.0011448780	0.0070356630
NonWhite Male 81	0.0908500000	0.0952451819	0.0307847630	0.0069321883	0.0037489578	0.0005183577	0.0013141653	0.0037313634	0.0032062386	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0175889730	0.0017870156	0.0012074820	0.0025175747	0.0085347516	0.0000000000	0.0044093688	0.0000469697	0.0012479482	0.0076690643
NonWhite Male 82	0.0992200000	0.1044942243	0.0337742011	0.0076053573	0.0041130105	0.0005686942	0.0014417809	0.0040937076	0.0035175891	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0192969980	0.0019605486	0.0013247378	0.0027620506	0.0093635419	0.0000000000	0.0048375525	0.0000515308	0.0013691336	0.0084137897
NonWhite Male 83	0.1090400000	0.1154557459	0.0373171398	0.0084031650	0.0045444684	0.0006283507	0.0015930248	0.0045231405	0.0038865868	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0213212674	0.0021662116	0.0014637038	0.0030517918	0.0103457844	0.0000000000	0.0053450153	0.0000569364	0.0015127567	0.0092964025
NonWhite Male 84	0.1205600000	0.1284699377	0.0415235343	0.0093503712	0.0050567216	0.0006991785	0.0017725909	0.0050329897	0.0043246836	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0237246044	0.0024103873	0.0016286928	0.0033957903	0.0115119630	0.0000000000	0.0059475064	0.0000633543	0.0016832749	0.0103442946
NonWhite Male 85	0.1296030000	0.1388058496	0.0448642660	0.0101026453	0.0054635548	0.0007554301	0.0019152028	0.0054379135	0.0046726214	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0256333422	0.0026043124	0.0017597275	0.0036689950	0.0124381457	0.0000000000	0.0064260067	0.0000684514	0.0018187010	0.0111765338
NonWhite Male 86	0.1399260000	0.1507368469	0.0487205548	0.0109710139	0.0059331723	0.0008203628	0.0020798232	0.0059053271	0.0050742546	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0278366451	0.0028281650	0.0019109841	0.0039843619	0.0135072612	0.0000000000	0.0069783514	0.0000743351	0.0019750267	0.0121372079
NonWhite Male 87	0.1509100000	0.1635900912	0.0528749285	0.0119065059	0.0064390905	0.0008903147	0.0022571685	0.0064088709	0.0055069333	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0302102598	0.0030693210	0.0020739326	0.0043241061	0.0146590176	0.0000000000	0.0075733914	0.0000806736	0.0021434361	0.0131721407
NonWhite Male 88	0.1625650000	0.1774116302	0.0573422705	0.0129124729	0.0069831218	0.0009655363	0.0024478741	0.0069503491	0.0059722078	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0327626900	0.0033286444	0.0022491568	0.0046894449	0.0158975412	0.0000000000	0.0082132585	0.0000874896	0.0023245325	0.0142850397
NonWhite Male 89	0.1748990000	0.1922494759	0.0621380990	0.0139924093	0.0075671562	0.0010462891	0.0026526024	0.0075316424	0.0064716942	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0355028020	0.0036070361	0.0024372654	0.0050816472	0.0172271342	0.0000000000	0.0089001755	0.0000948069	0.0025189451	0.0154797710
NonWhite Male 90	0.1879140000	0.2081490331	0.0672770896	0.0151496199	0.0081929807	0.0011328201	0.0028719799	0.0081545299	0.0070069210	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0384389808	0.0039053478	0.0026388339	0.0055019133	0.0186518653	0.0000000000	0.0096362443	0.0001026476	0.0027272688	0.0167599903
NonWhite Male 91	0.2016090000	0.2251568266	0.0727742800	0.0163874906	0.0088624266	0.0012253825	0.0031066485	0.0088208340	0.0075794544	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0415798181	0.0042244526	0.0028544522	0.0059514730	0.0201759034	0.0000000000	0.0104236189	0.0001110349	0.0029501130	0.0181294440
NonWhite Male 92	0.2159780000	0.2433181978	0.0786443250	0.0177093218	0.0095772787	0.0013242230	0.0033572338	0.0095323311	0.0081908206	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0449336871	0.0045652011	0.0030846951	0.0064315247	0.0218033117	0.0000000000	0.0112643982	0.0001199911	0.0031880721	0.0195917828
NonWhite Male 93	0.2310110000	0.2626786139	0.0849019205	0.0191184224	0.0103393265	0.0014295892	0.0036243632	0.0102908025	0.0088425503	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0485089844	0.0049284464	0.0033301390	0.0069432702	0.0235381642	0.0000000000	0.0121606873	0.0001295386	0.0034417416	0.0211506677
NonWhite Male 94	0.2466940000	0.2832837592	0.0915618323	0.0206181177	0.0111503682	0.0015417296	0.0039086670	0.0110980380	0.0095361813	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0523141463	0.0053150456	0.0035913632	0.0074879171	0.0253845546	0.0000000000	0.0131146010	0.0001396999	0.0037117201	0.0228097772
NonWhite Male 95	0.2625590000	0.3045691940	0.0984416245	0.0221673262	0.0119881869	0.0016575724	0.0042023572	0.0119319247	0.0102527129	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0562449377	0.0057144086	0.0038612118	0.0080505457	0.0272919047	0.0000000000	0.0141000087	0.0001501967	0.0039906121	0.0245236630
NonWhite Male 96	0.2785050000	0.3264298308	0.1055073313	0.0237583993	0.0128486463	0.0017765457	0.0045039839	0.0127883457	0.0109886076	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0602819519	0.0061245637	0.0041383526	0.0086283785	0.0292507975	0.0000000000	0.0151120452	0.0001609772	0.0042770407	0.0262838637
NonWhite Male 97	0.2944230000	0.3487393712	0.1127181308	0.0253821448	0.0137267749	0.0018979620	0.0048118045	0.0136623532	0.0117396136	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0644018653	0.0065431413	0.0044211844	0.0092180769	0.0312499158	0.0000000000	0.0161448638	0.0001719790	0.0045693510	0.0280802097
NonWhite Male 98	0.3101980000	0.3713506791	0.1200264664	0.0270278537	0.0146167815	0.0020210207	0.0051237887	0.0145481829	0.0125007781	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0685775063	0.0069673807	0.0047078419	0.0098157519	0.0332760750	0.0000000000	0.0171916526	0.0001831297	0.0048656152	0.0299008537
NonWhite Male 99	0.3257080000	0.3940920275	0.1273768332	0.0286830273	0.0155119066	0.0021447871	0.0054375673	0.0154391071	0.0132663201	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0727771619	0.0073940600	0.0049961481	0.0104168641	0.0353138868	0.0000000000	0.0182444617	0.0001943445	0.0051635833	0.0317319686
NonWhite Male 100	0.3419930000	0.4185397094	0.1352787142	0.0304623922	0.0164741949	0.0022778400	0.0057748893	0.0163968792	0.0140893025	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0772919269	0.0078527539	0.0053060864	0.0110630791	0.0375046002	0.0000000000	0.0193762654	0.0002064007	0.0054839086	0.0337004760
NonWhite Male 101	0.3590930000	0.4448709184	0.1437893812	0.0323788451	0.0175106210	0.0024211436	0.0061381996	0.0174284412	0.0149756900	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0821545238	0.0083467871	0.0056399034	0.0117590805	0.0398640931	0.0000000000	0.0205952668	0.0002193858	0.0058289128	0.0358206434
NonWhite Male 102	0.3770470000	0.4732842045	0.1529730087	0.0344468368	0.0186290000	0.0025757787	0.0065302379	0.0185415715	0.0159321664	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0874016188	0.0088798847	0.0060001162	0.0125101166	0.0424101572	0.0000000000	0.0219106578	0.0002333977	0.0062011973	0.0381084580
NonWhite Male 103	0.3959000000	0.5040155318	0.1629058642	0.0366835416	0.0198386197	0.0027430294	0.0069542598	0.0197455143	0.0169666751	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0930767876	0.0094564741	0.0063897162	0.0133224245	0.0451639368	0.0000000000	0.0233333623	0.0002485527	0.0066038539	0.0405829195
NonWhite Male 104	0.4156950000	0.5373321722	0.1736743341	0.0391084120	0.0211500002	0.0029243502	0.0074139532	0.0210507403	0.0180882132	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0992293874	0.0100815698	0.0068120919	0.0142030689	0.0481493818	0.0000000000	0.0248757538	0.0002649826	0.0070403846	0.0432655482
NonWhite Male 105	0.4364790000	0.5735506791	0.1853807336	0.0417444877	0.0225756015	0.0031214640	0.0079136856	0.0224696510	0.0193074368	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.1059178763	0.0107611111	0.0072712563	0.0151604170	0.0513948579	0.0000000000	0.0265524869	0.0002828436	0.0075149369	0.0461818328
NonWhite Male 106	0.4583030000	0.6130484745	0.1981470515	0.0446192384	0.0241302793	0.0033364249	0.0084586647	0.0240170325	0.0206370511	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.1132119529	0.0115021793	0.0077719942	0.0162044451	0.0549341852	0.0000000000	0.0283810345	0.0003023217	0.0080324560	0.0493621631
NonWhite Male 107	0.4812180000	0.6562715226	0.2121174305	0.0477651226	0.0258315872	0.0035716599	0.0090550437	0.0257103559	0.0220920686	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.1211939737	0.0123131417	0.0083199595	0.0173469413	0.0588073258	0.0000000000	0.0303820423	0.0003236370	0.0085987852	0.0528424476
NonWhite Male 108	0.5052790000	0.7037613117	0.2274668883	0.0512215511	0.0277008389	0.0038301160	0.0097102941	0.0275708349	0.0236907174	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.1299639356	0.0132041578	0.0089220169	0.0186022183	0.0630628015	0.0000000000	0.0325805787	0.0003470563	0.0092210192	0.0566662867
NonWhite Male 109	0.5305430000	0.7561785713	0.2444089832	0.0550366136	0.0297640413	0.0041153891	0.0104335322	0.0296243545	0.0254552397	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.1396438559	0.0141876245	0.0095865429	0.0199877411	0.0677598191	0.0000000000	0.0350072319	0.0003729056	0.0099078154	0.0608868817
NonWhite Male 110	0.5570700000	0.8143435350	0.2632088278	0.0592700086	0.0320534799	0.0044319432	0.0112360754	0.0319030484	0.0274132469	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.1503852073	0.0152789311	0.0103239360	0.0215251904	0.0729718782	0.0000000000	0.0376999746	0.0004015894	0.0106699207	0.0655702771
NonWhite Male 111	0.5849240000	0.8792936430	0.2842017393	0.0639972439	0.0346099894	0.0047854245	0.0121322381	0.0344475598	0.0295996624	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.1623795746	0.0164975423	0.0111473487	0.0232419885	0.0787919420	0.0000000000	0.0407068352	0.0004336192	0.0115209283	0.0708000068
NonWhite Male 112	0.6141700000	0.9523584210	0.3078174417	0.0693150856	0.0374859014	0.0051830687	0.0131403647	0.0373099748	0.0320592420	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.1758724819	0.0178684032	0.0120736360	0.0251732782	0.0853391470	0.0000000000	0.0440893637	0.0004696507	0.0124782581	0.0766831232
NonWhite Male 113	0.6448780000	1.0352938866	0.3346235079	0.0753513412	0.0407503349	0.0056344326	0.0142846842	0.0405590878	0.0348510987	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.1911882137	0.0194244606	0.0131250601	0.0273654754	0.0927708468	0.0000000000	0.0479288551	0.0005105499	0.0135649185	0.0833610192
NonWhite Male 114	0.6771220000	1.1304807361	0.3653894169	0.0822792840	0.0444969966	0.0061524728	0.0155980447	0.0442881659	0.0380553736	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.2087664144	0.0212103817	0.0143318026	0.0298815083	0.1013003714	0.0000000000	0.0523355234	0.0005574908	0.0148121024	0.0910253867
