White Male	 Rate	 Lambda	 Heart Diseases	 Stroke	 COPD	 Motor Accidents	 Other Accidents	 Pneumonia/Influenza	 Diabetes	 AIDS	 Suicide	 Cirrhosis	 Homicide	 Residual	 Esophagus, Mouth, Pharynx	 Stomach	 Colorectal	 Lung	 Ovary	 Prostate	 Breast	 Pancreas	 Other Cancers
White Male 61	0.0161300000	0.0162615045	0.0051329670	0.0005179641	0.0005063392	0.0003783778	0.0004602766	0.0002216600	0.0004542456	0.0003431534	0.0004899944	0.0005633275	0.0000000000	0.0021431794	0.0002306491	0.0001280970	0.0005044182	0.0016521160	0.0000000000	0.0005800592	0.0000060447	0.0002339199	0.0017147154
White Male 62	0.0176400000	0.0177974390	0.0056177869	0.0005668870	0.0005541641	0.0004141164	0.0005037507	0.0002425963	0.0004971501	0.0003755650	0.0005362755	0.0006165350	0.0000000000	0.0023456073	0.0002524344	0.0001401960	0.0005520616	0.0018081619	0.0000000000	0.0006348470	0.0000066156	0.0002560141	0.0018766740
White Male 63	0.0192300000	0.0194173015	0.0061290988	0.0006184831	0.0006046022	0.0004518079	0.0005496004	0.0002646765	0.0005423991	0.0004097477	0.0005850854	0.0006726500	0.0000000000	0.0025590965	0.0002754102	0.0001529562	0.0006023083	0.0019727347	0.0000000000	0.0006926286	0.0000072177	0.0002793156	0.0020474825
White Male 64	0.0209200000	0.0211419238	0.0066734783	0.0006734161	0.0006583023	0.0004919369	0.0005984153	0.0002881848	0.0005905743	0.0004461410	0.0006370521	0.0007323940	0.0000000000	0.0027863925	0.0002998718	0.0001665416	0.0006558047	0.0021479507	0.0000000000	0.0007541471	0.0000078588	0.0003041241	0.0022293375
White Male 65	0.0227000000	0.0229616116	0.0081584812	0.0014993541	0.0014292961	0.0001272470	0.0003173624	0.0009596379	0.0005404714	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0041272537	0.0002650175	0.0001471844	0.0005795801	0.0018982930	0.0000000000	0.0006664921	0.0000069454	0.0002687756	0.0019702202
White Male 66	0.0246400000	0.0249486454	0.0088644934	0.0016291040	0.0015529834	0.0001382586	0.0003448260	0.0010426822	0.0005872422	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0044844147	0.0002879514	0.0001599213	0.0006297353	0.0020625659	0.0000000000	0.0007241685	0.0000075464	0.0002920347	0.0021407175
White Male 67	0.0267500000	0.0271142925	0.0096339686	0.0017705171	0.0016877888	0.0001502600	0.0003747584	0.0011331914	0.0006382173	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0048736807	0.0003129467	0.0001738031	0.0006843990	0.0022416053	0.0000000000	0.0007870293	0.0000082014	0.0003173845	0.0023265408
White Male 68	0.0291100000	0.0295421024	0.0104965928	0.0019290490	0.0018389132	0.0001637143	0.0004083142	0.0012346572	0.0006953632	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0053100694	0.0003409679	0.0001893654	0.0007456799	0.0024423183	0.0000000000	0.0008574998	0.0000089358	0.0003458031	0.0025348589
White Male 69	0.0317100000	0.0322236498	0.0114493723	0.0021041494	0.0020058320	0.0001785747	0.0004453770	0.0013467275	0.0007584816	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0057920663	0.0003719177	0.0002065542	0.0008133656	0.0026640085	0.0000000000	0.0009353354	0.0000097469	0.0003771917	0.0027649490
White Male 70	0.0345100000	0.0351195345	0.0124783080	0.0022932458	0.0021860927	0.0001946229	0.0004854023	0.0014677556	0.0008266450	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0063125895	0.0004053413	0.0002251169	0.0008864614	0.0029034184	0.0000000000	0.0010193924	0.0000106228	0.0004110893	0.0030134302
