# http://www.arrs.net/SA_Mara.htm
#  World Single Age Records- Marathon  (20 Jan 2011)
# marathon        <- read.csv("/home/foster/public_html_gosset/teaching/471/marathons.csv",skip=7)
# marathon$time   <- 60 * marathon$timeH + marathon$timeM + marathon$timeS/60
# marathon$age    <-  marathon$ageYears + marathon$ageDays / 395
# marathon$color  <- c("blue","pink")[(marathon$sex == "men") + 2 * (marathon$sex == "wmn")]
# plot(marathon$age, marathon$time, col = marathon$col,log="y")
sex,ageYears,ageDays,timeH,timeM,timeS,name,country,Bdate,Rdate,location
wmn,53,147,2,47,50,Joan Samuelson,USA,16 May 1957,10 Oct 2010,Chicago IL USA
wmn,54,125,2,54,16,Manna Kwak,NED,14 Dec 1944,18 Apr 1999,Rotterdam NED
wmn,55,76,2,52,14,Rae Baymiller,USA,27 Jul 1943,11 Oct 1998,Chicago IL USA
wmn,56,65,2,59,23,Bernardine Portenski,NZL,26 Aug 1949,30 Oct 2005,Auckland NZL
wmn,57,262,3,04,59,Miyo Ishigami,JPN,09 May 1934,26 Jan 1992,Osaka JPN
wmn,58,267,3,03,43,Miyo Ishigami,JPN,09 May 1934,31 Jan 1993,Osaka JPN
wmn,59,249,3,07,05,Bernardine Portenski,NZL,26 Aug 1949,02 May 2009,Rotorua NZL
wmn,60,312,3,01,30,Bernardine Portenski,NZL,26 Aug 1949,04 Jul 2010,Gold Coast AUS
wmn,61,140,3,15,32,Renée Choppin,FRA,03 Dec 1934,21 Apr 1996,Paris FRA
wmn,62,6,3,15,18,Angela Copson,ENG,20 Apr 1947,26 Apr 2009,London ENG
wmn,63,291,3,14,56,Christa Wulf,GER,11 Dec 1933,28 Sep 1997,Berlin GER
wmn,64,114,3,26,37,Riita Rasimus,SWE,10 Feb 1941,04 Jun 2005,Stockholm SWE
wmn,65,56,3,12,56.6,Emmi Lüthi,SUI,01 Mar 1944,26 Apr 2009,Zurich SUI
wmn,66,1,3,35,49,Josie Edith Waller,GBR,16 Apr 1922,17 Apr 1988,London ENG
